timestamp,s1q1,s1q2,s1q3,s1q4,s1q5,s2q1,s2q2,s2q3,s2q4,s2q5,s2q6,s2q7,s3q1,s3q2,s3q3,s3q4,s3q5,s3q6,s3q7,s3q8,s3q9,s3q10,news,comments,video,extra
2020/03/07 11:49:50 am EET,Between 30 and 40,Several times a day,Politics;Other,Online,Five or less,4,3,2,4,4,4,5,2,3,4,4,4,4,3,3,3,4,2,1,1,
2020/03/07 3:37:42 pm EET,Between 30 and 40,Several times a day,Politics;Sports;Business,Online,Five or less,2,2,2,3,3,2,3,2,2,1,1,2,3,2,2,2,2,3,2,1,
2020/03/07 3:51:09 pm EET,Between 30 and 40,Several times a day,Politics;Business,Online,Five or less,5,5,4,5,5,5,5,4,3,5,5,5,5,5,4,5,3,1,1,1,I would like to speak (talk) to the inewspaper
2020/03/07 5:58:16 pm EET,Between 30 and 40,Several times a day,Politics;Arts & Entertainment,Online,Five or less,5,1,5,5,5,5,5,5,5,5,3,5,4,4,5,5,5,1,1,1,
2020/03/08 5:10:29 pm EET,Between 40 and 50,Once a Day,Politics;Sports;Business;Arts & Entertainment,Online,More than 5,4,2,3,5,5,4,5,1,2,3,3,3,4,3,2,2,3,3,1,2,Breaking news attached to social media of credible news outlets
2020/03/08 8:42:46 pm EET,Between 30 and 40,Several times a day,Politics;Sports;Arts & Entertainment;Other,Online,Five or less,5,4,3,4,5,5,5,3,3,2,4,3,5,3,5,3,1,3,2,1,
2020/03/08 9:12:57 pm EET,Between 30 and 40,Once a Day,Politics;Sports,Online,More than 5,4,4,4,4,4,5,5,5,5,4,3,3,5,5,4,4,3,1,2,1,Weather forecast
2020/03/09 1:59:20 pm EET,Between 20 and 30,Several times a day,Politics;Arts & Entertainment;Other,Online,More than 5,3,4,4,4,4,3,4,3,3,1,1,2,5,3,5,4,3,1,1,1,
2020/03/09 5:15:53 pm EET,Between 30 and 40,Several times a day,Politics;Arts & Entertainment,Online,Five or less,4,3,3,4,3,4,4,3,3,3,4,3,5,5,4,4,4,3,2,3,Social media trends worldwide 
2020/03/09 6:02:19 pm EET,Between 30 and 40,Once a Day,Politics,Online,More than 5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,3,1,2,
2020/03/11 5:13:35 pm EET,More than 50,Several times a day,Politics;Sports;Other,Online,Five or less,5,5,1,5,5,5,5,5,5,5,5,5,4,5,5,5,5,2,3,1,Latest news and video demonstration
2020/03/11 5:26:12 pm EET,More than 50,Once a Day,Politics;Arts & Entertainment;Other,Paper,Five or less,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,3,cosmetics news 